product_id,product_name,category_id,launch_date,price
P-001,Accessory,CAT-10,10-12-2017,599.34
P-002,Smart Speaker,CAT-9,11-05-2020,508.56
P-003,Laptop,CAT-1,09-05-2020,544.3
P-004,Wearable,CAT-5,30-05-2024,731.18
P-005,Smartphone,CAT-4,13-05-2019,1432.53
P-006,Smartphone,CAT-4,06-03-2019,1233.57
P-007,Laptop,CAT-1,04-12-2023,1548.9
P-008,Smartphone,CAT-4,16-12-2023,211.24
P-009,Laptop,CAT-1,18-05-2023,1226.95
P-010,Accessory,CAT-10,18-04-2021,1468.94
P-011,Desktop,CAT-7,05-07-2021,1180.01
P-012,Smart Speaker,CAT-9,16-06-2016,1348.17
P-013,Smartphone,CAT-4,07-02-2020,189.23
P-014,Subscription Service,CAT-8,12-06-2022,743.62
P-015,Wearable,CAT-5,16-01-2015,840.63
P-016,Accessory,CAT-10,15-11-2020,1170.87
P-017,Streaming Device,CAT-6,26-06-2021,577.85
P-018,Streaming Device,CAT-6,18-05-2017,744.41
P-019,Streaming Device,CAT-6,23-11-2016,1178.33
P-020,Smartphone,CAT-4,14-08-2021,534.6
P-021,Streaming Device,CAT-6,08-11-2022,791.83
P-022,Smartphone,CAT-4,28-12-2015,1993.98
P-023,Subscription Service,CAT-8,03-07-2017,1133.19
P-024,Tablet,CAT-3,02-09-2021,1833.35
P-025,Accessory,CAT-10,22-01-2022,395.45
P-026,Subscription Service,CAT-8,22-10-2022,1367.1
P-027,Audio,CAT-2,25-04-2022,936.76
P-028,Subscription Service,CAT-8,16-08-2018,779.75
P-029,Audio,CAT-2,18-12-2021,1657.82
P-030,Accessory,CAT-10,06-12-2023,920.46
P-031,Smart Speaker,CAT-9,31-03-2020,221.11
P-032,Accessory,CAT-10,23-05-2019,1207.57
P-033,Subscription Service,CAT-8,19-10-2020,1886.94
P-034,Tablet,CAT-3,19-05-2016,356.53
P-035,Subscription Service,CAT-8,24-02-2024,1535.33
P-036,Streaming Device,CAT-6,22-07-2019,1830.92
P-037,Wearable,CAT-5,02-11-2022,118.38
P-038,Audio,CAT-2,27-05-2020,1092.01
P-039,Desktop,CAT-7,15-10-2017,1729.63
P-040,Subscription Service,CAT-8,03-03-2015,557.73
P-041,Laptop,CAT-1,22-12-2019,1397.48
P-042,Accessory,CAT-10,31-05-2019,1570.89
P-043,Audio,CAT-2,17-11-2015,345.65
P-044,Accessory,CAT-10,07-06-2017,325.1
P-045,Smart Speaker,CAT-9,28-10-2023,805.46
P-046,Smartphone,CAT-4,05-02-2023,1185.67
P-047,Streaming Device,CAT-6,11-11-2017,75.55
P-048,Desktop,CAT-7,05-04-2020,1056.05
P-049,Streaming Device,CAT-6,07-01-2015,1925.29
P-050,Desktop,CAT-7,22-05-2024,1369.37
P-051,Audio,CAT-2,21-10-2024,695.09
P-052,Smartphone,CAT-4,13-05-2022,1408.04
P-053,Laptop,CAT-1,23-08-2023,1676.05
P-054,Wearable,CAT-5,16-06-2020,1575.08
P-055,Desktop,CAT-7,01-04-2019,215.45
P-056,Desktop,CAT-7,01-11-2021,1648.95
P-057,Tablet,CAT-3,12-09-2015,1408.59
P-058,Smartphone,CAT-4,15-04-2023,1580.45
P-059,Streaming Device,CAT-6,01-08-2022,1119.15
P-060,Tablet,CAT-3,11-12-2020,90.45
P-061,Accessory,CAT-10,08-07-2016,754.11
P-062,Streaming Device,CAT-6,22-08-2018,989.37
P-063,Wearable,CAT-5,27-05-2015,918.97
P-064,Subscription Service,CAT-8,09-02-2021,1470.42
P-065,Tablet,CAT-3,31-07-2024,1833.49
P-066,Wearable,CAT-5,16-11-2020,1574.84
P-067,Smart Speaker,CAT-9,06-06-2022,1086.09
P-068,Wearable,CAT-5,25-07-2018,1591.47
P-069,Accessory,CAT-10,13-10-2019,765.99
P-070,Smart Speaker,CAT-9,13-05-2024,551.43
